doi,year,first_author,title,journal,domain,data_source,data_url,original_claim,fit_method,n_replicates,organism,notes
10.1371/journal.pgen.1007324,2018,Sprouffske,High mutation rates limit evolutionary adaptation in E. coli,PLOS Genetics,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.mh206,"Populations with higher mutation rates accumulate more diversity but only modest mutation-rate increases produce faster adaptation and better growth in novel environments",growthcurver_logistic,8+,E. coli,phenotyping_data.tar.gz includes growth curves; Growthcurver-derived metrics
10.1111/mec.16119,2021,Figueiredo,Ecology drives the evolution of diverse social strategies in P. aeruginosa,Molecular Ecology,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.34tmpg4kw,"Social-trait evolution diverges across 9 environments after 1200 generations; pyoverdine cooperation increases when dispersal is restricted",growthcurver_logistic,6+,P. aeruginosa,Figueiredo_etal_data.xlsx; data_url=PENDING needs_verification per-replicate OD time-series structure
10.1128/msystems.00228-21,2021,Cruz-Loya,Antibiotics shift the temperature response curve of E. coli growth,mSystems,antimicrobial,dryad,https://datadryad.org/dataset/doi:10.5068/D14T2B,"12 antibiotics shift the E. coli thermal performance curve with drug- and concentration-specific effects; Briere model fit",modified_Briere,4,E. coli BW25113,OD measurements at 24h across temperatures 22-50C; Python ADVI fits provided
10.1128/spectrum.01842-22,2022,Law,Effects of antibiotic combinations on P. aeruginosa tolerance evolution and coexistence with S. maltophilia,Microbiology Spectrum,antimicrobial,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.83bk3j9tn,"S. maltophilia presence does not change MIC or tolerance evolution of P. aeruginosa but alters competitive dynamics; particularly under tobramycin",growth_curve_visual,3,"P. aeruginosa, S. maltophilia","Antibiotic_growth_data.csv with ~3 replicates per condition blank-corrected; data_url=PENDING needs_verification per-timepoint vs single-point"
10.1073/pnas.1721270115,2018,Schick,Rapid diversification of P. aeruginosa in CF lung-like conditions,PNAS,antimicrobial,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.5c38fv8,"Mucin slightly affects within-population diversification but increases between-population divergence; OD600 growth varies across 576 isolates",growth_endpoint_OD,3+,P. aeruginosa PA14,"evolved_isolates_phenotypes csv; data_url=PENDING needs_verification per-replicate time-series"
10.1371/journal.pbio.3000465,2020,Baumgartner,Resident microbial communities inhibit growth and antibiotic resistance evolution of E. coli,PLOS Biology,antimicrobial,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.t1g1jwszq,"Resident gut microbiome communities prevent E. coli from evolving resistance to beta-lactam antibiotic in serial transfer",growth_curve,3+,E. coli,dryad.zip; growth curve and fitness data; data_url=PENDING needs_verification per-replicate file structure
10.1111/jeb.12774,2015,Friman,Pre-adapted phages clear P. aeruginosa CF isolates more efficiently and lower resistance evolution,Journal of Evolutionary Biology,antimicrobial,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.t285m,"Evolved phages reduce bacterial densities more than ancestral phages; only 50% of bacterial strains evolved resistance to evolved phages versus 100% for ancestral",growth_curve_OD,3+,P. aeruginosa,OD data sheets across phage treatments; data_url=PENDING needs_verification PDF files
10.1038/s41467-024-50639-9,2024,Boo,Measuring the burden of hundreds of BioBricks defines an evolutionary limit on constructability,Nature Communications,synthetic_biology,supplementary_xlsx,https://www.nature.com/articles/s41467-024-50639-9#Sec27,"19.6% of 301 BioBricks reduce E. coli growth rate >5% (burden); none reduce growth rate >45%; correlates with cloneability limit",growth_rate_regression,4+,E. coli,Supplementary Data 2 contains microplate assay results; Supplementary Data 3 has calculated statistics
10.5061/dryad.1zcrjdg2p,2025,Gunn,Cholesterol-rich diet and bacterial extracellular matrix factors favor Salmonella biofilm formation in cecum,Mol Microbiology / mBio,food_microbiology,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.1zcrjdg2p,"WT vs ECM quadruple mutant strains differ in cecum biofilm aggregate formation and survival; in-vitro OD600 growth in TSB recorded",growth_curve_OD,3+,S. enterica Typhimurium,SFig_1.xlsx OD600 every 15 min for 15 h; multiple figure files
10.3390/foods10051099,2021,Pennone,Omnibus modeling of Listeria monocytogenes growth rates at low temperatures,Foods (MDPI),food_microbiology,direct_request_pending,PENDING,"Omnibus modeling reveals smaller strain differences than first-order modeling at 4.5 / 7.8 / 12 C across 5 L. monocytogenes strains",Huang_polynomial,3,L. monocytogenes,"Data is available on request from corresponding author Francis Butler UCD; data_url=PENDING needs_verification author contact"
10.3390/microorganisms12101970,2024,Vasileiadi,Assessing L. monocytogenes growth in raw sea bass fillet produced in Greece,Microorganisms (MDPI),food_microbiology,supplementary_xlsx,https://www.mdpi.com/2076-2607/12/10/1970#supplementary,"Growth potential Delta = 2.63 log10 CFU/g in raw sea bass fillet during storage; exceeds 0.5 threshold",enumeration_descriptive,3 (day 0)+1,L. monocytogenes,"microorganisms-12-01970-s001.zip with 9 supplementary tables of CFU/g per batch per timepoint"
10.3390/foods14050777,2025,Cipriani,Growth rate determination of L. monocytogenes in RTE fish products under different storage,Foods (MDPI),food_microbiology,supplementary_xlsx,https://www.mdpi.com/2304-8158/14/5/777,"Vmax at 10C: tuna fillet 0.041 marinated salmon tartare 0.020 cubed salmon 0.039 log CFU/g/h; salt+sugar reduce growth in tartare",baranyi_roberts,3 batches x 10 samples,L. monocytogenes,DMFit-fitted growth rates; data_url=PENDING needs_verification raw counts in supplement
10.3390/foods9091211,2020,Culliney,Growth potential of L. monocytogenes on refrigerated spinach and rocket in modified atmosphere,Foods (MDPI),food_microbiology,supplementary_xlsx,https://www.mdpi.com/2304-8158/9/9/1211#supplementary,"Spinach growth potential 2-3 log10 CFU/g over 9 days vs rocket ~2 log10 CFU/g; iceberg lower; at 8C MAP",baranyi_roberts_ComBase,4,L. monocytogenes,"Supplementary tables S1-S3 with log CFU/g over time"
10.3390/foods13233948,2024,Nanje Gowda,Predictive model for L. monocytogenes in RTE meats using exclusive food matrix data,Foods (MDPI),food_microbiology,direct_request_pending,PENDING,"Logistic-with-delay model trained on 480 food-matrix curves outperforms broth-based models for predicting growth rate in RTE meats",logistic_with_delay,>500 datasets,L. monocytogenes,"731 curves from literature + ComBase + author personal communication; data_url=PENDING needs_verification author contact"
10.1038/s41597-025-05356-3,2025,Lu,Population dynamics of E. coli growing under chemically defined media,Scientific Data,evolution,figshare,https://doi.org/10.6084/m9.figshare.28342064,"13608 OD growth curves across 1029 chemically defined media and 44 compounds reveal chemical-genetic interactions in growth",growth_curve_OD,4-12,E. coli,Massive figshare deposit; multiple article IDs 28342064 28342031 28746800 28342034
10.1093/evlett/qrad019,2023,Callens,Hypermutator emergence in experimental E. coli populations is stress type dependent,Evolution Letters,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.hqbzkh1mr,"Hypermutator emergence rate is higher under osmotic than antibiotic stress; growth-kinetic parameters differ between ancestor and evolved",grofit,5+,E. coli,Compiled_OD_measures.csv has 24h OD measurements; parameter csvs for ancestor and evolved
10.1111/ele.13241,2019,Rodriguez-Verdugo,Rate of environmental fluctuations shapes ecological dynamics in two-species microbial system,Ecology Letters,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.734q42p,"Low fluctuation frequency causes species loss; intermediate-high frequency maintains both species in two-species E. coli + Acinetobacter consortium",monod_model,3+,"E. coli + Acinetobacter",Growth_curves.zip and Batch_culture_experiments.zip; OD_CFU_conversion provided
10.1002/ece3.8191,2021,Durao,Competition dynamics in long-term propagations of S. pombe strain communities,Ecology and Evolution,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.280gb5mqt,"Pairwise competitive fitness with focal strain predicts long-term community composition better than maximum growth rate alone",competition_fitness,3+,S. pombe,4 CSV files: GrowthRates Prediction/Observed CompetitiveFitness CommunityFitness
10.5281/zenodo.15771751,2025,Floccari,Lysogenic control of bacterial morphology and fitness by Spbetavirus phi3T,bioRxiv,evolution,zenodo,https://zenodo.org/records/15771751,"WT versus phi3T lysogen and double lysogen show fitness and morphology differences; competition and growth curve assays compare",growth_curve_BioTek,3+,B. subtilis,"Data source xlsx with Biotek Synergy H1 OD readings; supplementary xlsx with additional data"
10.5281/zenodo.12731795,2024,Rescan,Building multidimensional tolerance landscapes for bacteria exposed to antibiotics in urban sewers,Water Research,antimicrobial,zenodo,https://zenodo.org/records/12731795,"Non-additive interactions between temperature salinity and antibiotics shape bacterial tolerance differently across 3 species",TMB_r_K_fit,3+,"E. coli, S. suis, A. cryaerophilus",Per-species OD xlsx files + C++ NLL fitting module; tolerance landscape fits
10.5281/zenodo.6620957,2022,Goldman,Highly-Automated High-Throughput Replication of Yeast-based Logic Circuit Design Assessments,bioRxiv,synthetic_biology,zenodo,https://zenodo.org/records/6620957,"Replicate yeast logic gate circuit accuracy reproducibly across institutions and runs; OD600 and flow data",plate_reader,3+,S. cerevisiae,"Plate reader + flow cytometry data; 9 compressed archives; positive and negative controls"
10.5281/zenodo.13507910,2024,Althoff,Evolution of plasticity in pairwise competitive and mutualistic communities of brewer's yeast,Zenodo,evolution,zenodo,https://zenodo.org/records/13507910,"Yeast strains grown with competitor change growth rate; strains grown with mutualist change resource-use efficiency",growth_curve_R,3+,S. cerevisiae,Three R scripts for cleaning and growth/efficiency analysis; data_url=PENDING needs_verification per-replicate OD time-series structure
10.1371/journal.pcbi.1008366,2020,Tonner,A Bayesian non-parametric mixed-effects model of microbial growth curves,PLOS Computational Biology,evolution,github,https://github.com/amyschmid/pseudomonas-organic-acids,"Parametric models overestimate treatment-effect significance compared to hierarchical GP fits; H. salinarum TF KO and P. aeruginosa organic-acid experiments",gaussian_process_hierarchical,3-4 biol x 3 tech,"H. salinarum, P. aeruginosa","Two GitHub data repos; phenom Stan code at github.com/ptonner/phenom"
10.1371/journal.ppat.1012924,2025,Kals,Antibiotics change population growth rate heterogeneity and morphology of bacteria,PLOS Pathogens,antimicrobial,zenodo,https://zenodo.org/records/10352995,"Protein-synthesis inhibitors produce smallest population growth rate heterogeneity; cell-wall inhibitors largest; across 14 antibiotics x 3 species x 11 conc",Hill_equation_IC10_IC90,3 biol x 30 tech,"E. coli, S. aureus, P. aeruginosa","18.8 GB dataset; per-well per-pad growth-rate time-series from MAP imaging"
10.3389/fmicb.2022.758237,2022,Pedreira,Kinetics of bacterial adaptation growth and death at didecyldimethylammonium chloride sub-MIC,Frontiers in Microbiology,antimicrobial,zenodo,https://zenodo.org/records/5167910,"Mechanistic dynamic model with adaptation outperforms logistic model for sub-MIC disinfectant kinetics; B. cereus and E. coli",logistic_vs_mechanistic,3+,"B. cereus, E. coli","data_Bc.mat and data_Ec.mat; MATLAB + R scripts; OD and CFU dual measurement"
10.5061/dryad.pzgmsbcsn,2024,Bao,Mutations in yeast are deleterious regardless of degree of adaptation,bioRxiv,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.pzgmsbcsn,"Spontaneous mutations show similar deleterious effect distributions across environments regardless of adaptation match",max_growth_rate,many,S. cerevisiae,42 dated fitness assays each well-by-OD-time matrix; raw growth rate assay data
10.3389/fmicb.2021.658374,2021,Kortright,Evolution of bacterial cross-resistance to lytic phages and albicidin,Frontiers in Microbiology,antimicrobial,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.ghx3ffbmn,"Selection by phages or albicidin produces cross-resistance to all three antibacterials in 29 spontaneous E. coli mutants",growth_curve_OD,3+,E. coli,GrowthCurves.xlsx 379 KB; MIC + EOP + competition data
10.5281/zenodo.17735985,2025,Feltin,Raw and processed data for the host range of P. syringae phages,PLOS Pathogens,antimicrobial,zenodo,https://zenodo.org/records/17735985,"Many phages infect bacterial strains regardless of source - weak ecological host-range barriers; growth-inhibition AUC quantified",growthcurver_AUC,3,P. syringae,OD every 5 min for 48 h; 58.7 MB raw CSV
10.1038/s42003-019-0633-x,2019,Testa,Spatial structure affects phage efficacy in dual-strain biofilms of P. aeruginosa,Communications Biology,antimicrobial,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.sj300pb,"Phage-sensitive bacteria in colonies escape infection via reduced growth at colony center; in liquid all sensitive bacteria die",growth_curve_quantification,3+,P. aeruginosa PAO1/PA14,Figure spreadsheets with growth curves over 48 h
10.1038/s41467-022-31422-0,2022,Rouches,A plasmid system with tunable copy number,Nature Communications,synthetic_biology,github,https://github.com/lambert-lab/plasmid-system-tunable-copy-number,"Plasmid copy number tunable 1-800 copies/cell; 1194 ColE1 variants show growth-rate-vs-copy-number trade-off",microplate_growth_rate,3+,E. coli,FigureData folder with growth rate measurements; data_url=PENDING needs_verification specific OD time-series file
10.1038/s41467-022-34390-7,2022,Kittleson,Inducible plasmid copy number control for synthetic biology in commonly used E. coli strains (TULIP),Nature Communications,synthetic_biology,supplementary_xlsx,https://www.nature.com/articles/s41467-022-34390-7#Sec23,"TULIP plasmid copy number induced 2.9 to 50.9 copies via Cuminic acid; minimal growth impact across NEBStable DH10B BW25113 MG1655",microplate_growth_rate,3+,E. coli (multiple strains),"Supplementary Data with microplate reader OD600 and fluorescence at induction levels"
10.1128/msystems.00849-24,2024,Chan,Pangenomic landscapes shape performances of synthetic genetic circuit across Stutzerimonas species,mSystems,synthetic_biology,osf,https://osf.io/yx43n/,"Chassis effect on inverter circuit performance across 6 Stutzerimonas species; core-genome differential expression predicts device output",chassis_effect_growth_OD,3+,Stutzerimonas spp.,"Project Chan.Stutz.Pangenome.Chassis on OSF; experimental data + R Markdown"
10.5281/zenodo.13208281,2024,Nieto,Bacterial cell size modulation along the growth curve across nutrient conditions,Zenodo,evolution,zenodo,https://zenodo.org/records/13208281,"Cell size scales with growth rate across nutrient conditions in E. coli and S. enterica; exponential fits with 95% CI",exponential_fit,3,"E. coli, S. enterica","resultsOD.csv with 3 OD replicates; CFUod folder with OD + CFU + microscopy"
10.5281/zenodo.14720093,2025,Tabanelli,Extensive characterization of Companilactobacillus alimentarius from spontaneous fermented sausages,Int J Food Microbiology,food_microbiology,zenodo,https://zenodo.org/records/14720093,"Companilactobacillus alimentarius strain characterization shows growth-curve heterogeneity in fermented sausage strains",growth_curve_OD,3+,Companilactobacillus alimentarius,"data set xlsx 845 KB; data_url=PENDING needs_verification per-replicate per-timepoint structure"
10.1098/rsbl.2015.1073,2016,Kadowaki,Predicting biotic interactions and their variability in a changing environment,Biology Letters,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.v36v0,"Biotic interactions vary along environmental gradient; phylogenetic distance modulates interaction variability across 12 strains x salinity",growth_curve_OD,3+,12 bacterial strains,monoculture_exp.csv and polyculture_exp.csv with corrected OD per timepoint per replicate
10.5281/zenodo.4449746,2021,Dragos,Phages weaponize their bacteria with biosynthetic gene clusters,bioRxiv,evolution,zenodo,https://zenodo.org/records/4449746,"Phage-encoded BGCs change bacterial competitive fitness in monoculture vs co-culture; OD time-series captures effect",growth_curve_BioTek,3+,Bacillus subtilis,Synergy XHT 10-min interval OD600; biological replicate columns per well in xlsx
10.5281/zenodo.10410495,2023,Long,A robust yeast chassis: comprehensive characterization of fast-growing S. cerevisiae XP,Microbial Cell Factories,synthetic_biology,zenodo,https://zenodo.org/records/10410495,"XP strain shows faster growth and improved bioprocessing relative to S288c reference under various carbon sources",growth_curve_OD,3+,S. cerevisiae (XP and S288c),"Metabolomic data + growth curves; data_url=PENDING needs_verification growth-curve OD CSV"
10.3390/microorganisms13122811,2025,Maki,Inhibition of E. coli O157:H7 growth through nutrient competition by non-O157 cattle E. coli,Microorganisms (MDPI),food_microbiology,supplementary_xlsx,https://www.mdpi.com/2076-2607/13/12/2811#supplementary,"Non-O157 cattle E. coli consortia significantly reduce O157:H7 growth via nutrient competition; AUC from OD630",growthcurver_AUC_logistic,3 biol x 2 tech,E. coli,Supplementary tables S4-S8 with growth metrics; PRJNA1309676 for sequencing
10.7488/ds/3263,2021,Montano-Gutierrez,Analysing and meta-analysing time-series data of microbial growth and gene expression from plate readers,PLOS Comp Biol,evolution,osf,https://datashare.ed.ac.uk/handle/10283/4192,"omniplate Python module corrects autofluorescence and OD non-linearity; HXT deletions and raffinose conditions in budding yeast",omniplate_correction,3+,S. cerevisiae,TSV files raffinose and HXTdeletions; r/s/sc replicate suffixes
10.1073/pnas.1902217116,2019,Ram,Predicting microbial growth in mixed culture from growth curve data (Curveball),PNAS,synthetic_biology,figshare,https://doi.org/10.6084/m9.figshare.3485984.v1,"Strain A1 grows 41% faster than A2 has 23% higher max density and 60% shorter lag; mixed-culture predictions accurate",baranyi_roberts_lsq_BIC,8-32,E. coli,Curveball Python package; 5- and 15-min interval fluorescence growth curves; 8 strain pairs
10.7554/eLife.93520,2024,Hitomi,Experimental evolution for the recovery of growth loss due to genome reduction,eLife,evolution,supplementary_xlsx,https://elifesciences.org/articles/93520#supplementary-data,"8 of 9 evolved populations grew faster than genome-reduced ancestor; recovery to wild-type growth rates",growth_rate_30min_OD600,4-6,E. coli K-12 W3110,30-min interval OD600; growth-rate averaged over 3 consecutive intervals
