domain	doi_or_url	year	source_type	specific_finding	uncertainty_handling
food_safety_HACCP	https://www.fda.gov/food/hazard-analysis-critical-control-point-haccp/haccp-principles-application-guidelines	1997	guideline	FDA HACCP guidelines: predictive models (including Baranyi-style growth models) can support critical-limit setting; model predictions should be compared against 95% confidence intervals during validation. If experimental data fall outside the predicted interval, the model is not valid for HACCP use.	Validation against CIs is explicit; ongoing uncertainty propagation into the safety decision is not built into the guideline.
food_safety_pathogen_modeling	https://pmp.errc.ars.usda.gov/	2014	software	USDA Pathogen Modeling Program (PMP Online) and Integrated Pathogen Modeling Program (IPMP) are USDA-supplied tools for growth-curve fitting in regulatory contexts.	Outputs include fitted Baranyi/Gompertz parameters and (in IPMP 2013) some confidence intervals; downstream propagation into shelf-life is user-driven, not automatic.
food_safety_outbreak_evidence	https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2018.5134 ; https://www.ecdc.europa.eu/en/publications-data/prolonged-multi-country-cluster-listeria-monocytogenes-st155-infections ; https://www.sciencedirect.com/science/article/pii/S0362028X2600102X	2018-2024	paper/regulatory	EFSA states that "for RTE foods that support L. monocytogenes growth, it is impossible to predict with a high degree of certainty that the level will or will not exceed 100 CFU/g during their shelf life." Italian CC155 listeriosis outbreak (2022, one of the largest reported in Italy, ~101 cases linked to RTE products); multi-country ST155 cluster 2022-2023 (17 confirmed cases, 2 deaths, linked to RTE fish products). Predictive shelf-life models did not prevent these outbreaks.	Regulator openly admits prediction uncertainty is large enough to make confident shelf-life calls infeasible - direct real-world stakes.
industrial_bioprocess	https://pmc.ncbi.nlm.nih.gov/articles/PMC3755222/ ; https://pmc.ncbi.nlm.nih.gov/articles/PMC7146123/	2013-2020	paper/review	Soft sensors (off-gas, capacitance, oxygen-uptake-rate) estimate biomass and specific growth rate in real time for fed-batch fermentation including mAb-producing CHO cultures. These estimates feed PID/MPC controllers that decide feeding rate, induction time, and harvest.	Growth-rate uncertainty propagated through state estimators (extended Kalman filters, particle filters); some MPC formulations use Monte Carlo on parameter uncertainty.
industrial_bioprocess	https://www.sciencedirect.com/science/article/abs/pii/S0098135424004095	2024	paper	MLOps soft sensors deployed in industrial-scale fed-batch fermentation use ML models that may not propagate parameter uncertainty at all.	Many production deployments operate on point estimates; confidence in the prediction is rarely surfaced to operators.
industrial_bioprocess_regulatory	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/pat-framework-innovative-pharmaceutical-development-manufacturing-and-quality-assurance	2004	guideline	FDA PAT framework: process understanding requires characterizing variability in CPPs and KPIs; QbD principles encourage building uncertainty bounds into control strategies.	Encouraged at the framework level but with no specific requirement on growth-rate CI calibration.
industrial_bioprocess	https://link.springer.com/article/10.1007/BF00369473	1990s	paper	Classic batch-fermentation control under uncertainty literature; modeling parameter uncertainty has been a known issue for >30 years.	Robust control methods exist but adoption in production bioprocess control is uneven.
industrial_bioprocess	https://www.frontiersin.org/journals/manufacturing-technology/articles/10.3389/fmtec.2024.1392038/full	2024	paper	"Golden batch" anomaly detection in bioreactor fermentation: deviations from reference parameters trigger root-cause analyses for out-of-trend batches that may be discarded.	Decisions to abort/discard a batch are based on parameter deviation thresholds, not on calibrated CIs.
clinical_outcomes_meta	https://pmc.ncbi.nlm.nih.gov/articles/PMC8644319/ ; https://accpjournals.onlinelibrary.wiley.com/doi/10.1002/phar.2722	2021-2022	meta_analysis	AUC-guided (typically Bayesian) vancomycin TDM associated with lower nephrotoxicity (6.2%) vs trough-guided (17.0%); odds ratio for AKI 0.625.	Meta-analyses treat the dosing approach as a binary intervention; do not stratify by calibration quality of the underlying Bayesian models.
clinical_outcomes	https://pmc.ncbi.nlm.nih.gov/articles/PMC12708608/ ; https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1575224/full	2025	paper	Recent prospective evaluations of Bayesian vancomycin software in pediatric ARC and ICU patients show improved target attainment vs conventional dosing.	Outcomes assessed at the cohort level; whether individual-patient credible intervals were trustworthy is not separately validated.
nonparametric_methods	https://accp1.org/pdfs/documents/STEP/3_Goutelle-et-al-2022-Parametric-vs-non-parametric-Pop-PK.pdf ; https://pubmed.ncbi.nlm.nih.gov/22722776/	2012-2022	paper	Pmetrics/NPAG and BestDose use nonparametric estimation, designed specifically to detect subpopulations and outliers that parametric methods miss. Argued to improve coverage in misspecified-prior scenarios.	Bootstrap-based parameter uncertainty (200 resamples standard). Explicit acknowledgement that parametric CIs can be miscalibrated under non-Gaussian/multimodal parameter distributions.
antimicrobial_PKPD_MCS	https://academic.oup.com/jac/article/66/2/227/720360	2011	paper/review	Mouton & Vinks: Monte Carlo simulation maximizes population PK data to optimize antibiotic dosing in critically ill patients. Standard workflow: (1) population PK with parameter covariance, (2) MIC distribution, (3) PK/PD target, (4) MCS to compute Probability of Target Attainment (PTA). PTA is the central decision metric for EUCAST/CLSI breakpoint and ID dose recommendations.	Parameter uncertainty IS propagated via Monte Carlo (typically 10,000 iterations). However, the propagation assumes the parameter posterior is correctly characterized - if covariance matrix is miscalibrated (common, see SIR papers), PTA estimates are biased.
antimicrobial_PKPD_piperacillin	https://pubmed.ncbi.nlm.nih.gov/41313259/	2025	paper	Development of pop-PK models of total and free piperacillin in critically ill children for Monte Carlo simulations and MIPD. Direct application of parameter-uncertainty-propagated MCS to dose recommendation.	Monte Carlo on parameter uncertainty drives the dosing simulation; calibration of CIs underlying the MCS not separately reported.
ich_credibility_v_and_v	https://www.asme.org/codes-standards/find-codes-standards/v-v-40-assessing-credibility-computational-modeling-verification-validation-application-medical-devices	2018	guideline	ASME V&V 40-2018 "Assessing Credibility of Computational Modeling Through Verification and Validation: Application to Medical Devices" is referenced by ICH M15 draft as the credibility framework. Model risk is the product of model influence and consequence of wrong decision. High model influence on a high-consequence decision requires more rigorous V&V.	Risk-based credibility framework explicitly ties stakes to required level of validation. Calibration of uncertainty intervals is not separately tested but is part of credibility assessment.
predictive_micro_review	https://link.springer.com/article/10.1007/s12393-024-09382-6 ; https://www.sciencedirect.com/science/article/abs/pii/S0168160520303494	2020-2024	review	30-year review of Baranyi & Roberts model. Documents that bias in growth-rate / lag estimates is the dominant source of error in shelf-life prediction; prediction-interval coverage is rarely validated empirically.	Field acknowledges miscalibration; few empirical coverage studies published.
predictive_micro_validation	https://www.sciencedirect.com/science/article/pii/S0740002012001098	2012	paper	Ross's accuracy factor (Af) and bias factor (Bf) are the standard validation metrics in predictive microbiology. EU FBR-EFSA-style "fail-dangerous" criterion: model predicts safer than reality.	Validates point predictions only - does not test whether reported 95% intervals achieve 95% coverage.
clinical_PK_perspective	https://ascpt.onlinelibrary.wiley.com/doi/10.1002/psp4.12422	2019	review/perspective	Bauer review on NONMEM 7.4: covariance step failures are routine, especially with sparse data; bootstrap and SIR are workarounds but each can produce different CI widths for the same dataset.	Direct documentation that the dominant pop-PK estimation tool's default uncertainty estimate is unreliable.
